Mandant;Belegdatum;Lieferant;Belegnummer;Beschreibung;Netto;USt-Satz;USt;Brutto;Währung;Zahlart;Status;Hinweis;Beleg (PDF);E-Mail-Link
Blickwinkel FlexCo;07.01.2026;OpenRouter, Inc;07LXKWZA-0001;API-Guthaben (OpenRouter Credits);;;;10,85;USD;Kreditkarte •0722;bezahlt;;Invoice-07LXKWZA-0001.pdf, Receipt-2507-2375.pdf;https://mail.google.com/mail/u/0/#all/19b9a1c003ee3ee0
Blickwinkel FlexCo;02.02.2026;Google Cloud;5484224983;Google Cloud Platform & APIs, Konto 01BC74-23000C-24806C;;;;;EUR;Kreditkarte (automatisch);bezahlt;Betrag im PDF-Anhang;5484224983.pdf;https://mail.google.com/mail/u/0/#all/19c1bf8962edfff0
Blickwinkel FlexCo;02.02.2026;Google Ads;5488653014;Google Ads, Kundennr. 893-230-5066;;;;;EUR;Kreditkarte (automatisch);bezahlt;PDF-Rechnung im Google-Ads-Portal herunterladen;;https://mail.google.com/mail/u/0/#all/19c1d0b86dee3bef
Blickwinkel FlexCo;05.02.2026;Paddle (Cloud Starter);77572627-156024501;Cloud Starter Monatsabo;24,00;20 %;4,80;28,80;EUR;Kreditkarte (Abo);bezahlt;Beleg-PDF über Link in der E-Mail abrufbar;;https://mail.google.com/mail/u/0/#all/19c2bad1c2aa160d
Blickwinkel FlexCo;01.03.2026;Google Ads;5509361485;Google Ads, Kundennr. 893-230-5066;;;;;EUR;Kreditkarte (automatisch);bezahlt;PDF-Rechnung im Google-Ads-Portal herunterladen;;https://mail.google.com/mail/u/0/#all/19caa7ec6500c3b0
Blickwinkel FlexCo;01.03.2026;Google Cloud;5516297250;Google Cloud Platform & APIs, Konto 01BC74-23000C-24806C;;;;;EUR;Kreditkarte (automatisch);bezahlt;Betrag im PDF-Anhang (Zahlung 0,50 € am 01.03. erhalten);5516297250.pdf;https://mail.google.com/mail/u/0/#all/19caac0082872ac7
Blickwinkel FlexCo;05.03.2026;Paddle (Cloud Starter);77572627-158168689;Cloud Starter Monatsabo;24,00;20 %;4,80;28,80;EUR;Kreditkarte (Abo);bezahlt;Beleg-PDF über Link in der E-Mail abrufbar;;https://mail.google.com/mail/u/0/#all/19cbbcbce58f265d
Blickwinkel FlexCo;01.04.2026;Google Cloud;5537332905;Google Cloud Platform & APIs, Konto 01BC74-23000C-24806C;;;;;EUR;Kreditkarte (automatisch);bezahlt;Betrag im PDF-Anhang;5537332905.pdf;https://mail.google.com/mail/u/0/#all/19d4b4162da9fb05
Blickwinkel FlexCo;02.04.2026;Google Ads;5536315207;Google Ads, Kundennr. 893-230-5066;;;;;EUR;Kreditkarte (automatisch);bezahlt;PDF-Rechnung im Google-Ads-Portal herunterladen;;https://mail.google.com/mail/u/0/#all/19d4d19ef8431b0c
Blickwinkel FlexCo;02.04.2026;Hostinger International Ltd.;H_40699265;Openclaw 2 Jahre (131,76) + Nexos AI Credits (5,99) + Oxylabs Credits (0,00);137,75;0 %;0,00;137,75;EUR;Online-Zahlung;bezahlt;Rechnungs-PDF im Hostinger-Kundenbereich herunterladen;;https://mail.google.com/mail/u/0/#all/19d4dc633801061c
